2025-09-09 20:53:30,954 INFO  Logger.cs: 70 - 
--------------------------------------------------------------------------------
2025-09-09 20:53:30,969 INFO  Logger.cs: 71 - Logging commencing for SW2URDF exporter
2025-09-09 20:53:30,970 INFO  Logger.cs: 73 - Commit version 1.6.0-4-g7f85cfe
2025-09-09 20:53:30,970 INFO  Logger.cs: 74 - Build version 1.6.7995.38578
2025-09-09 20:53:30,981 INFO  SwAddin.cs: 192 - Attempting to connect to SW
2025-09-09 20:53:30,981 INFO  SwAddin.cs: 197 - Setting up callbacks
2025-09-09 20:53:30,982 INFO  SwAddin.cs: 201 - Setting up command manager
2025-09-09 20:53:30,982 INFO  SwAddin.cs: 204 - Adding command manager
2025-09-09 20:53:30,984 INFO  SwAddin.cs: 263 - Adding Assembly export to file menu
2025-09-09 20:53:30,984 INFO  SwAddin.cs: 272 - Adding Part export to file menu
2025-09-09 20:53:30,984 INFO  SwAddin.cs: 210 - Adding event handlers
2025-09-09 20:53:30,993 INFO  SwAddin.cs: 217 - Connecting plugin to SolidWorks
2025-09-09 20:55:13,085 INFO  SwAddin.cs: 294 - Assembly export called for file Drive Unit asm
2025-09-09 20:55:13,086 INFO  SwAddin.cs: 299 - Save is required
2025-09-09 20:55:13,086 INFO  SwAddin.cs: 313 - Saving assembly
2025-09-09 20:55:13,594 INFO  SwAddin.cs: 316 - Opening property manager
2025-09-09 20:55:13,602 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from Drive Unit asm
2025-09-09 20:55:13,604 INFO  ExportHelperExtension.cs: 1136 - Found 33 in Drive Unit asm
2025-09-09 20:55:13,605 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in Drive Unit asm
2025-09-09 20:55:13,605 INFO  ExportHelperExtension.cs: 1148 - Proceeding through assembly components
2025-09-09 20:55:13,605 INFO  ExportHelperExtension.cs: 1160 - 4 components to check
2025-09-09 20:55:13,606 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from Å¸ÀÌ¾î-1
2025-09-09 20:55:13,606 INFO  ExportHelperExtension.cs: 1136 - Found 28 in Å¸ÀÌ¾î-1
2025-09-09 20:55:13,607 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in Å¸ÀÌ¾î-1
2025-09-09 20:55:13,607 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from Drive Unit 1-1
2025-09-09 20:55:13,607 INFO  ExportHelperExtension.cs: 1136 - Found 85 in Drive Unit 1-1
